Date,Name,,Ratings,Dugan Ratings,Name,Year,Name,Review,Watched Date,Name,Liked
2025-10-28,Halloween,,3.5,7,Role Models,2008,,,,,
2025-10-29,Don't Look in the Basement,,1,2,Planet 51,2009,,,,,
2025-10-30,Halloweentown,,2.5,5,Jumanji: Welcome to the Jungle,2017,,,,,
2025-10-30,Hocus Pocus,,4,8,Fast Five,2011,,,,,
2025-10-31,Rosemary's Baby,,4.5,9,Jungle Cruise,2021,,,,,
2025-11-04,Isle of Dogs,,4.5,9,San Andreas,2015,,,,,
2025-11-04,The Warriors,,4,8,Valentine's Day,2010,,,,,
2025-11-05,King of New York,,2.5,5,Idiocracy,2006,,,,,
2025-11-07,The Naked Gun,,3.5,7,Walk Hard: The Dewey Cox Story,2007,,,,,
2025-11-13,Popstar: Never Stop Never Stopping,,3,6,Herbie Fully Loaded,2005,,,,,
2025-11-18,Edward Scissorhands,,3,6,Waiting...,2005,,,,,
2025-11-21,Small Things Like These,,2.5,5,Harry Potter and the Goblet of Fire,2005,,,,,
2025-11-24,Labyrinth,,2,4,Harry Potter and the Deathly Hallows: Part 2,2011,,,,,
2025-11-26,Killer's Kiss,,1.5,3,Harry Potter and the Order of the Phoenix,2007,,,,,
2025-11-30,Sorcerer,,4,8,Harry Potter 20th Anniversary: Return to Hogwarts,2022,,,,,
2025-12-01,The Incredible Melting Man,,2,4,Into the Woods,2014,,,,,
2025-12-01,Don't Worry Darling,,3,6,Mad Max,1979,,,,,
2025-12-01,Sisu: Road to Revenge,,3.5,7,Mad Max 2,1981,,,,,
2025-12-02,Krampus,,1.5,3,The Big Short,2015,,,,,
2025-12-03,Wicked: For Good,,3.5,7,Lars and the Real Girl,2007,,,,,
2025-12-05,Bad Santa,,3,6,Remember the Titans,2000,,,,,
2025-12-08,Gremlins,,3.5,7,The Great Gatsby,2013,,,,,
2025-12-09,A Muppet Family Christmas,,4,8,Kung Fu Panda 3,2016,,,,,
2025-12-12,The Year Without a Santa Claus,,4,8,Power Rangers,2017,,,,,
2025-12-13,Scrooged,,1.5,3,The Patriot,2000,,,,,
2025-12-14,Santa Claus Is Comin' to Town,,3.5,7,Beauty and the Beast,2017,,,,,
2025-12-14,The Christmas Tree,,1,2,Harry Potter and the Deathly Hallows: Part 1,2010,,,,,
2025-12-15,Four Christmases,,3,6,Harry Potter and the Half-Blood Prince,2009,,,,,
2025-12-17,The Apartment,,4,8,Harry Potter and the Chamber of Secrets,2002,,,,,
2025-12-19,Tokyo Godfathers,,3.5,7,X-Men,2000,,,,,
2025-12-22,How the Grinch Stole Christmas,,4,8,Les Misérables,2012,,,,,
2025-12-24,Miracle on 34th Street,,3,6,X2,2003,,,,,
2025-12-27,Marty Supreme,,3.5,7,Happy Feet,2006,,,,,
2025-12-28,Wake Up Dead Man,,4,8,Real Steel,2011,,,,,
2025-12-29,Black Bag,,2.5,5,Bad Education,2019,,,,,
2025-12-29,Sovereign,,3.5,7,Robin Hood: Men in Tights,1993,,,,,
2025-12-29,Everybody Wants Some!!,,4,8,Jimmy Neutron: Boy Genius,2001,,,,,
2026-01-03,Warfare,,3.5,7,Furiosa: A Mad Max Saga,2024,,,,,
2026-01-03,The Rapsittie Street Kids: Believe in Santa,,0.5,1,Inside Out 2,2024,,,,,
2026-01-04,Train Dreams,,4,8,Deadpool & Wolverine,2024,,,,,
2026-01-05,The Edge of Seventeen,,4,8,Kiki's Delivery Service,1989,,,,,
2026-01-06,Frankenstein,,3,6,Hit Man,2023,,,,,
2026-01-06,Pom Poko,,3,6,Full Metal Jacket,1987,,,,,
2026-01-07,Train to Busan,,3.5,7,Alien: Romulus,2024,,,,,
2026-01-08,Bugonia,,3,6,Manos: The Hands of Fate,1966,,,,,
2026-01-08,Shiva Baby,,3.5,7,Nazis at the Center of the Earth,2012,,,,,
2026-01-09,Daisies,,0.5,1,The Killing,1956,,,,,
