Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-07-21,Varsity Blues,1999,https://boxd.it/apR7MR,3.5,,A final act so much better you forget how bad of a raunchy high school comedy this tried to be,,2025-07-20
2025-07-22,Dog Day Afternoon,1975,https://boxd.it/aqGjnh,3.5,,"Mannnn this Al Pacino guy is good, hope to see him in more stuff",,2025-07-22
2025-07-23,Flora and Son,2023,https://boxd.it/aroKJd,3,,Very charming but surprisingly just meh music compared to Carney’s other movies,,2025-07-22
2025-07-24,Safe Men,1998,https://boxd.it/asesIP,2,,"Ending is baffling, how do you set up Paul giamatti blowing up cause of pants and not do it?",,2025-07-24
2025-07-25,Vertigo,1958,https://boxd.it/at4bWJ,3,,"One of the best looking movies I’ve ever seen. Never wanted to go to San Fran more, hang every third shot in a museum",,2025-07-25
2025-07-29,Happy Gilmore 2,2025,https://boxd.it/avYjgr,2.5,,John Daly saving a nostalgia bait cameo fest,,2025-07-28
2025-07-29,Boxcar Bertha,1972,https://boxd.it/awzBX3,1.5,,Scorsese kissing Barbara Hershey for his cameo in this is some Tarantino type move,,2025-07-29
2025-08-01,Face/Off,1997,https://boxd.it/ayQ8br,4,,"An absolute tragedy the casting Oscar wasn’t a thing in 1997, it peaked",,2025-07-31
2025-08-03,Five Corners,1987,https://boxd.it/aAxwad,1,,"Absolute shit-show of storytelling, characters have a combined 10 IQ",,2025-08-03
2025-08-04,Animal Kingdom,2010,https://boxd.it/aBnzTp,3.5,,Double feature this with Superman if you want to lose all hope in humanity immediately,,2025-08-03
2025-08-05,Castle in the Sky,1986,https://boxd.it/aCaNH1,3.5,,"10/10 score, they cooked for 2 hours straight in the studio",,2025-08-04
2025-08-06,The Fantastic 4: First Steps,2025,https://boxd.it/aCNlcx,3.5,,Most traumatic childbirth since Quiet Place,,2025-08-05
2025-08-07,Mary and Max,2009,https://boxd.it/aDr1qJ,4,,Ain’t no way they got me tearing up over claymation☹️,,2025-08-06
2025-08-07,It's Alive,1974,https://boxd.it/aDBPfV,1.5,,There’s gotta be a good 70s horror I’ve never heard of right?,,2025-08-06
2025-08-07,The Hidden,1987,https://boxd.it/aDFaeb,2.5,,"Kyle MacLachlan is a perfect casting as a weird FBI dude, something about the face. Also officially 1 for 300 on guessing twists",,2025-08-07
2025-08-08,Cars,2006,https://boxd.it/aEkNhv,3,Yes,Cars be driving vroom vroom,,2025-08-08
2025-08-11,Legend,1985,https://boxd.it/aGMFkl,1.5,,"Worst Tom Cruise performance, awful characters, bad action, but Tim Curry has never looked or sounded cooler. He never fails to be the best part of a movie",,2025-08-10
2025-08-12,Wolfs,2024,https://boxd.it/aHCdSN,3,,"They almost died cause of a dance circle, wish I was making that up",,2025-08-12
2025-08-13,From Up on Poppy Hill,2011,https://boxd.it/aIhLXp,4,,The kind of gorgeous animation that makes me avoid live action for a week,,2025-08-12
2025-08-14,Zodiac,2007,https://boxd.it/aIZV2h,4,,Should’ve arrested him based off watch alone,,2025-08-13
2025-08-15,Weapons,2025,https://boxd.it/aJzZLH,4,,The layout of the 2nd floor in the house was the real MVP,,2025-08-14
2025-08-15,The Conversation,1974,https://boxd.it/aJIplh,4.5,,"Mannnnnn what a performance, what a movie. Haven’t seen a movie so patient with the story since Pig with Nick Cage.",,2025-08-15
2025-08-19,Ponyo,2008,https://boxd.it/aMOjaL,3,,80% of the conflict is cause Liam Neeson fish dad has no chill,,2025-08-18
2025-08-20,Valley Girl,1983,https://boxd.it/aNwezz,1,,"https://open.spotify.com/playlist/75Wfi8Lt8KxzpDbpBjFUN2?si=ZHGI8oxMQRGWRBvigm-DDA&pi=go0PlPLWQmm4V

Here’s the soundtrack, saved you 99 minutes. You’re welcome",,2025-08-20
2025-08-21,The Seventh Seal,1957,https://boxd.it/aO3EWP,3,,"That’s enough existential dread for the next month, thanks",,2025-08-20
2025-08-21,Punch-Drunk Love,2002,https://boxd.it/aOddrv,4.5,,"Basically the US version of Submarine (2010). Also it’s amazing, can’t believe I wasn’t excited to watch it",,2025-08-21
2025-08-22,DodgeBall: A True Underdog Story,2004,https://boxd.it/aOPlTt,3.5,Yes,Any movie that Ben Stiller is playing the straight man is an injustice,,2025-08-22
2025-08-23,Sexy Beast,2000,https://boxd.it/aP3lsZ,3.5,,This is how it felt as a kid when my parents’ cousins would stop by,,2025-08-22
2025-08-23,From Dusk Till Dawn,1996,https://boxd.it/aPyAcf,1.5,,You’re telling me nobody else could’ve played that part?? Tarantino a freak,,2025-08-23
2025-08-25,Sing Sing,2023,https://boxd.it/aR7lrD,3.5,,That lady asking if he was acting the whole time during the interview is the most devastating thing I’ve seen since I’m Still Here,,2025-08-24
2025-08-27,The Player,1992,https://boxd.it/aS0n39,4,,"The last 30 minutes loses me a bit, but I love the script here, and the million cameos that either hate Hollywood or got tricked into being in an anti Hollywood movie",,2025-08-26
2025-08-27,Heat,1995,https://boxd.it/aSsajT,4.5,,"#1000

This milestone had to be celebrated with one I’ve been putting off for years. Pairing Pacino and De Niro with this story is enough for a great movie, but the script and characters make this stand with some of the other 2.5+ hour epics. 

How can you not love da movies",,2025-08-26
2025-08-28,The Party,1968,https://boxd.it/aT5h1F,2.5,,"I just wanna go to a party and wash an elephant now, didn’t know that’s what rich people did",,2025-08-28
2025-08-29,Lost in Translation,2003,https://boxd.it/aTII1Z,4,,"Should’ve known this was gonna be fantastic, it’s Cha Cha Real Smooth but somehow more problematic",,2025-08-29
2025-09-02,Paper Moon,1973,https://boxd.it/aWx7At,3.5,,"Still thinking about Ms Delight trying to get up the hill. First half is fantastic, what a duo",,2025-09-01
2025-09-07,Hoodwinked!,2005,https://boxd.it/aZM47l,2.5,,Granny would beat up Lorax grandmom so badly,,2025-09-07
2025-09-08,The Parallax View,1974,https://boxd.it/b0y05V,3,,Damn that ending,,2025-09-07
2025-09-11,Phantasm,1979,https://boxd.it/b2guAB,2,,Shoutout the maid for showing up for 3 seconds and not noticing anything weird for 90 minutes,,2025-09-10
2025-09-12,Network,1976,https://boxd.it/b2Fjyf,4.5,,"Please find a way to watch this. This script is perfect, every character so convincing in what they believe in no matter how vile it is. More applicable today than ever, just seeing the story of why a group of people feel justified to put their company over peoples’ lives.",,2025-09-11
2025-09-15,A Little Romance,1979,https://boxd.it/b4LBif,4,,"Richard is no stepdad, that’s the dad that stepped up",,2025-09-14
2025-09-17,The Lego Movie,2014,https://boxd.it/b5UNcP,4,Yes,This and Battle for Bikini Bottom are the blueprint for how to do licensed entertainment,,2025-09-16
2025-09-23,My Neighbors the Yamadas,1999,https://boxd.it/b9FVsH,2,,"Maybe just aged poorly? Feels like a compilation of a cool Instagram account, not a full movie",,2025-09-23
2025-09-25,God Help the Girl,2014,https://boxd.it/bavcS5,2.5,,"I cannot stand James, a twink that can’t sing or act, thank god he gets nothing. Give these songs a better set of characters please",,2025-09-24
2025-09-26,The Jericho Mile,1979,https://boxd.it/bb7cMx,2.5,,"What a weird start for Mann’s career, guessing he decided he never wanted to see the sun in his movies again after this",,2025-09-25
2025-10-01,Chinatown,1974,https://boxd.it/be9Mh7,4,,"A HISTORIC DAY, I GUESSED THE REVEAL OF A DETECTIVE MOVIE💃 (updated counter of 2 for 300 on this)",,2025-09-30
